filename,label
000267.jpg,red_ball
000268.jpg,red_ball
000269.jpg,red_ball
000270.jpg,red_ball
000271.jpg,red_ball
000272.jpg,red_ball
000273.jpg,red_ball
000274.jpg,red_ball
000275.jpg,red_ball
000276.jpg,red_ball
000277.jpg,red_ball
000278.jpg,red_ball
000279.jpg,red_ball
000280.jpg,red_ball
000281.jpg,red_ball
000282.jpg,red_ball
000283.jpg,red_ball
000284.jpg,red_ball
000285.jpg,red_ball
000286.jpg,red_ball
000287.jpg,red_ball
000288.jpg,red_ball
000289.jpg,red_ball
000290.jpg,red_ball
000291.jpg,red_ball
000292.jpg,red_ball
000293.jpg,red_ball
000294.jpg,red_ball
000295.jpg,red_ball
000296.jpg,red_ball
000297.jpg,red_ball
000298.jpg,red_ball
000299.jpg,red_ball
000300.jpg,red_ball
000301.jpg,red_ball
000302.jpg,red_ball
000303.jpg,red_ball
000304.jpg,red_ball
000305.jpg,red_ball
000306.jpg,red_ball
000307.jpg,red_ball
000308.jpg,red_ball
