filename,label
000146.jpg,red_ball
000147.jpg,red_ball
000148.jpg,red_ball
000149.jpg,red_ball
000150.jpg,red_ball
000151.jpg,red_ball
000152.jpg,red_ball
000153.jpg,red_ball
000154.jpg,red_ball
000155.jpg,red_ball
000156.jpg,red_ball
000157.jpg,red_ball
000281.jpg,red_ball
000282.jpg,red_ball
000283.jpg,red_ball
000284.jpg,red_ball
000285.jpg,red_ball
000286.jpg,red_ball
000287.jpg,red_ball
000288.jpg,red_ball
000289.jpg,red_ball
000290.jpg,red_ball
000291.jpg,red_ball
000292.jpg,red_ball
000293.jpg,red_ball
000294.jpg,red_ball
000295.jpg,red_ball
000296.jpg,red_ball
000297.jpg,red_ball
000298.jpg,red_ball
000299.jpg,red_ball
000300.jpg,red_ball
000301.jpg,red_ball
