filename,label
001189.jpg,yellow_ball
001190.jpg,yellow_ball
001191.jpg,yellow_ball
001192.jpg,yellow_ball
001193.jpg,yellow_ball
001377.jpg,yellow_ball
001378.jpg,yellow_ball
001379.jpg,yellow_ball
001380.jpg,yellow_ball
001381.jpg,yellow_ball
001382.jpg,yellow_ball
001383.jpg,yellow_ball
001384.jpg,yellow_ball
001385.jpg,yellow_ball
001386.jpg,yellow_ball
001387.jpg,yellow_ball
001388.jpg,yellow_ball
001389.jpg,yellow_ball
001390.jpg,yellow_ball
001391.jpg,yellow_ball
001392.jpg,yellow_ball
001393.jpg,yellow_ball
001394.jpg,yellow_ball
001395.jpg,yellow_ball
001396.jpg,yellow_ball
001397.jpg,yellow_ball
